Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/07/2026,02/08/2026,UBER TRIP 8005928996,Travel,Sale,-34.64,
02/08/2026,02/09/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-199.44,
02/10/2025,02/10/2025,AMAZON.COM*2ALYPHKE,Shopping,Sale,-130.2,
02/10/2026,02/12/2026,COSTCO WHSE #1147,Groceries,Sale,-218.14,
02/13/2025,02/14/2025,CVS/PHARMACY #4471,Shopping,Sale,-46.64,
02/13/2025,02/13/2025,DD *COSTCO WHSE,Groceries,Sale,-46.15,
02/13/2026,02/14/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-7.3,
02/14/2025,02/14/2025,COSTCO GAS #1147,Gas,Sale,-34.88,
02/14/2025,02/16/2025,COSTCO GAS #1147,Gas,Sale,-41.95,
02/14/2025,02/15/2025,COSTCO WHSE #1147,Groceries,Sale,-188.2,
02/16/2025,02/18/2025,DOORDASH*COSTCO,Groceries,Sale,-47.2,
02/17/2025,02/17/2025,Payment Thank You,Payment,Payment,2146.56,
02/17/2026,02/17/2026,Payment Thank You,Payment,Payment,1170.98,
02/20/2025,02/21/2025,TARGET.COM*8871029,Shopping,Sale,-49.95,
02/20/2025,02/20/2025,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-229.02,
02/21/2025,02/21/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-7.19,
02/21/2026,02/22/2026,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-26.92,
02/22/2025,02/23/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-10.21,
02/23/2026,02/24/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-35.86,
02/25/2026,02/25/2026,SQ *STARBUCKS,Food & Drink,Sale,-11.36,
02/26/2025,02/27/2025,DOORDASH*COSTCO,Groceries,Sale,-57.26,
02/27/2025,03/01/2025,DD *WINGSTOP,Food & Drink,Sale,-31.86,
02/27/2026,02/27/2026,SQ *STARBUCKS,Food & Drink,Sale,-7.24,
02/28/2025,03/02/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-7.42,
02/28/2026,03/01/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-24.92,
03/02/2025,03/03/2025,CHIPOTLE 2647,Food & Drink,Sale,-10.63,
03/02/2025,03/02/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-9.4,
03/02/2026,03/03/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-21.27,
03/02/2026,03/03/2026,CHIPOTLE ONLINE,Food & Drink,Sale,-17.03,
03/03/2025,03/04/2025,SHELL OIL 57443982,Gas,Sale,-57.09,
03/05/2025,03/07/2025,AMZN Mktp US*2KDJ6G13,Shopping,Sale,-141.54,
03/05/2025,03/06/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-13.56,
03/06/2025,03/06/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
03/06/2026,03/06/2026,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
03/07/2025,03/08/2025,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-9.76,
03/07/2026,03/07/2026,UBER TRIP 8005928996,Travel,Sale,-26.34,
03/08/2025,03/09/2025,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-29.31,
03/08/2025,03/10/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-10.85,
03/08/2026,03/09/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-12.27,
03/08/2026,03/10/2026,AMAZON.COM*2AFPDCWH,Shopping,Sale,-74.69,
03/09/2026,03/09/2026,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-76.54,
03/09/2026,03/09/2026,COSTCO GAS #1147,Gas,Sale,-37.03,
03/11/2025,03/12/2025,SAFEWAY #2214,Groceries,Sale,-52.15,
03/12/2025,03/13/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-29.21,
03/13/2026,03/13/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-6.19,
03/15/2025,03/15/2025,LYFT   RIDE 855-865-9553,Travel,Sale,-9.6,
03/16/2026,03/16/2026,LYFT *RIDE THU 2PM,Travel,Sale,-31.17,
03/17/2025,03/17/2025,Payment Thank You,Payment,Payment,1543.31,
03/17/2026,03/17/2026,Payment Thank You,Payment,Payment,1273.13,
03/18/2026,03/18/2026,AMAZON.COM*2AKUN0HI,Shopping,Sale,-47.27,
03/19/2026,03/20/2026,CHIPOTLE 2647,Food & Drink,Sale,-12.31,
03/20/2025,03/21/2025,AMZN Mktp US*2KC5QMT7,Shopping,Sale,-50.79,
03/21/2025,03/22/2025,CVS/PHARMACY #4471,Shopping,Sale,-7.81,
03/21/2026,03/21/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-18.42,
03/23/2025,03/25/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-6.22,
03/23/2026,03/24/2026,UBER TRIP 8005928996,Travel,Sale,-15.81,
03/24/2025,03/26/2025,COSTCO WHSE #1147,Groceries,Sale,-224.92,
03/24/2026,03/24/2026,DOORDASH*COSTCO,Groceries,Sale,-66.92,
03/25/2025,03/26/2025,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-8.12,
03/26/2026,03/28/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-37.39,
03/27/2025,03/29/2025,LYFT *RIDE THU 2PM,Travel,Sale,-35.9,
03/27/2025,03/28/2025,TARGET.COM*8871029,Shopping,Sale,-70.3,
03/27/2026,03/28/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-29.87,
03/28/2025,03/28/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-8.42,
03/28/2025,03/29/2025,AMZN Mktp US*2KKSGMAJ,Shopping,Sale,-11.39,
03/29/2025,03/29/2025,COSTCO GAS #1147,Gas,Sale,-45.43,
03/29/2026,03/31/2026,STARBUCKS STORE #05028,Food & Drink,Sale,-5.09,
03/30/2026,03/31/2026,TARGET.COM*8871029,Shopping,Sale,-107.58,
04/03/2026,04/03/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-44.26,
04/04/2025,04/05/2025,COSTCO WHSE #1147,Groceries,Sale,-219.22,
04/06/2025,04/08/2025,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
04/06/2026,04/07/2026,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
04/06/2026,04/07/2026,AMAZON.COM*2ABKEG9U,Shopping,Sale,-154.11,
04/09/2025,04/09/2025,COSTCO GAS #1147,Gas,Sale,-59.11,
04/09/2025,04/09/2025,COSTCO GAS #1147,Gas,Sale,-49.7,
04/11/2026,04/13/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-22.72,
04/12/2026,04/14/2026,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-50.8,
04/15/2026,04/16/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-12.05,
04/17/2025,04/17/2025,Payment Thank You,Payment,Payment,1492.83,
04/17/2026,04/17/2026,Payment Thank You,Payment,Payment,1116.19,
04/18/2025,04/18/2025,SQ *STARBUCKS,Food & Drink,Sale,-9.92,
04/19/2025,04/21/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-7.08,
04/19/2026,04/21/2026,STARBUCKS STORE #05028,Food & Drink,Sale,-9.51,
04/22/2025,04/22/2025,TARGET 00021842 AUSTIN TX,Shopping,Sale,-56.9,
04/23/2025,04/24/2025,LYFT   RIDE 855-865-9553,Travel,Sale,-37.44,
04/23/2026,04/23/2026,TARGET.COM*8871029,Shopping,Sale,-37.07,
04/25/2026,04/27/2026,CHIPOTLE ONLINE,Food & Drink,Sale,-12.9,
04/26/2025,04/26/2025,COSTCO WHSE #1147,Groceries,Sale,-67.35,
04/27/2025,04/28/2025,UBER  EATS 8005928996,Food & Drink,Sale,-29.51,
04/27/2026,04/28/2026,SHELL OIL 57443982,Gas,Sale,-32.53,
04/30/2025,05/01/2025,COSTCO WHSE #1147,Groceries,Sale,-78.94,
04/30/2026,05/01/2026,TARGET.COM*8871029,Shopping,Sale,-18.05,
05/03/2025,05/05/2025,TARGET.COM*8871029,Shopping,Sale,-106.28,
05/04/2025,05/06/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-15.49,
05/04/2025,05/05/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-9.95,
05/04/2026,05/05/2026,AMZN Mktp US*2K33ONWC,Shopping,Sale,-13.91,
05/06/2025,05/06/2025,SAFEWAY #2214,Groceries,Sale,-38.01,
05/06/2025,05/07/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
05/06/2026,05/08/2026,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
05/06/2026,05/06/2026,DD *WINGSTOP,Food & Drink,Sale,-35.73,
05/07/2026,05/08/2026,AMAZON.COM*2ADOTXDF,Shopping,Sale,-117.48,
05/08/2025,05/09/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-16.21,
05/09/2025,05/10/2025,UBER  EATS 8005928996,Food & Drink,Sale,-49.01,
05/10/2025,05/12/2025,LYFT   RIDE 855-865-9553,Travel,Sale,-14.58,
05/10/2025,05/10/2025,CVS PHARM #04471 AUSTIN TX,Shopping,Sale,-15.15,
05/11/2026,05/11/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-228.06,
05/13/2025,05/13/2025,SAFEWAY #2214,Groceries,Sale,-18.14,
05/13/2026,05/14/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-133.94,
05/14/2026,05/15/2026,CVS/PHARMACY #4471,Shopping,Sale,-19.12,
05/15/2025,05/16/2025,UBER  EATS 8005928996,Food & Drink,Sale,-17.02,
05/15/2026,05/16/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-11.54,
05/17/2025,05/17/2025,Payment Thank You,Payment,Payment,1217.41,
05/17/2025,05/18/2025,SQ *STARBUCKS,Food & Drink,Sale,-8.4,
05/17/2026,05/18/2026,SQ *STARBUCKS,Food & Drink,Sale,-7.69,
05/17/2026,05/17/2026,Payment Thank You,Payment,Payment,966.62,
05/18/2025,05/20/2025,COSTCO GAS #1147,Gas,Sale,-37.45,
05/18/2026,05/18/2026,DD *WINGSTOP,Food & Drink,Sale,-39.2,
05/18/2026,05/19/2026,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-49.3,
05/21/2025,05/23/2025,SHELL OIL 57443982,Gas,Sale,-28.91,
05/21/2026,05/21/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-47.91,
05/22/2025,05/24/2025,AMZN Mktp US*2KFVOKWD,Shopping,Sale,-158.39,
05/22/2025,05/22/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-9.67,
05/23/2025,05/24/2025,LYFT *RIDE THU 2PM,Travel,Sale,-15.81,
05/23/2025,05/23/2025,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-191.11,
05/23/2025,05/25/2025,SAFEWAY STORE 2214 AUSTIN TX,Groceries,Sale,-143.06,
05/25/2026,05/25/2026,DD *WINGSTOP,Food & Drink,Sale,-48.46,
05/25/2026,05/26/2026,UBER  EATS 8005928996,Food & Drink,Sale,-18.09,
05/27/2025,05/28/2025,CHIPOTLE 2647,Food & Drink,Sale,-17.75,
05/27/2025,05/29/2025,TARGET.COM*8871029,Shopping,Sale,-91.79,
05/27/2025,05/29/2025,SAFEWAY STORE 2214 AUSTIN TX,Groceries,Sale,-99.69,
05/29/2025,05/31/2025,COSTCO GAS #1147,Gas,Sale,-57.3,
05/29/2025,05/30/2025,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-43.75,
05/29/2026,05/30/2026,COSTCO WHSE #1147,Groceries,Sale,-132.03,
06/01/2025,06/01/2025,SHELL OIL 57443982,Gas,Sale,-28.72,
06/02/2026,06/03/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-141.05,
06/02/2026,06/03/2026,STARBUCKS STORE #05028,Food & Drink,Sale,-5.32,
06/04/2025,06/06/2025,SAFEWAY #2214,Groceries,Sale,-34.9,
06/04/2026,06/04/2026,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-33.86,
06/05/2025,06/07/2025,DD *WINGSTOP,Food & Drink,Sale,-50.54,
06/05/2026,06/06/2026,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-45.03,
06/06/2025,06/06/2025,SFW_#22,Groceries,Sale,-124.15,
06/06/2025,06/07/2025,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
06/06/2026,06/08/2026,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
06/07/2025,06/08/2025,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-16.68,
06/07/2026,06/07/2026,DOORDASH*COSTCO,Groceries,Sale,-70.65,
06/07/2026,06/07/2026,SQ *STARBUCKS,Food & Drink,Sale,-10.33,
06/11/2026,06/13/2026,LYFT *RIDE THU 2PM,Travel,Sale,-11.52,
06/13/2026,06/13/2026,DOORDASH*CHIPOTLE,Food & Drink,Sale,-49.32,
06/13/2026,06/14/2026,SQ *STARBUCKS,Food & Drink,Sale,-5.58,
06/14/2025,06/14/2025,CHIPOTLE 2647,Food & Drink,Sale,-14.39,
06/14/2026,06/15/2026,CHIPOTLE 2647,Food & Drink,Sale,-13.34,
06/15/2025,06/17/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-8.02,
06/15/2025,06/16/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-10.42,
06/17/2025,06/17/2025,Payment Thank You,Payment,Payment,990.84,
06/17/2026,06/17/2026,Payment Thank You,Payment,Payment,1079.95,
06/17/2026,06/17/2026,SHELL OIL 57443982,Gas,Sale,-35.65,
06/20/2025,06/20/2025,AMZN Mktp US*2KXC0JCJ,Shopping,Sale,-122.78,
06/21/2025,06/22/2025,SHELL OIL 57443982,Gas,Sale,-33.38,
06/22/2025,06/22/2025,UBER TRIP 8005928996,Travel,Sale,-24.29,
06/26/2025,06/27/2025,UBER TRIP 8005928996,Travel,Sale,-9.69,
06/28/2025,06/28/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-6.62,
06/30/2025,06/30/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-28.59,
06/30/2026,06/30/2026,COSTCO WHSE #1147,Groceries,Sale,-225.97,
06/30/2026,07/01/2026,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-36.06,
07/01/2026,07/01/2026,AMAZON.COM*2ADZY6X4,Shopping,Sale,-105.88,
07/03/2026,07/04/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-11.23,
07/06/2025,07/08/2025,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
07/06/2026,07/07/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-95.19,
07/06/2026,07/07/2026,DOORDASH*CHIPOTLE,Food & Drink,Sale,-17.5,
07/06/2026,07/07/2026,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
07/09/2026,07/10/2026,SQ *STARBUCKS,Food & Drink,Sale,-7.21,
07/10/2025,07/10/2025,LYFT *RIDE THU 2PM,Travel,Sale,-25.59,
07/10/2026,07/11/2026,AMZN Mktp US*2KI06BU1,Shopping,Sale,-14.95,
07/12/2025,07/13/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-7.44,
07/12/2025,07/13/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-15.71,
07/12/2025,07/14/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-12.04,
07/12/2026,07/13/2026,DD *WINGSTOP,Food & Drink,Sale,-20.24,
07/13/2026,07/14/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-8.01,
07/14/2025,07/14/2025,SAFEWAY #2214,Groceries,Sale,-79.7,
07/14/2026,07/15/2026,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-10.67,
07/14/2026,07/15/2026,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-31.12,
07/15/2025,07/17/2025,SHELL OIL 57443982,Gas,Sale,-48.15,
07/17/2025,07/17/2025,Payment Thank You,Payment,Payment,1520.72,
07/17/2026,07/17/2026,Payment Thank You,Payment,Payment,1354.09,
07/18/2025,07/19/2025,COSTCO GAS #1147,Gas,Sale,-38.73,
07/19/2025,07/19/2025,UBER TRIP 8005928996,Travel,Sale,-23.26,
07/20/2025,07/22/2025,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-23.17,
07/20/2025,07/21/2025,SQ *STARBUCKS,Food & Drink,Sale,-10.58,
07/23/2025,07/23/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-11.97,
07/27/2025,07/29/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-6.64,
08/03/2025,08/03/2025,COSTCO WHSE #1147,Groceries,Sale,-200.28,
08/06/2025,08/07/2025,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
08/06/2025,08/07/2025,UBER  EATS 8005928996,Food & Drink,Sale,-21.55,
08/06/2025,08/06/2025,SFW_#22,Groceries,Sale,-144.23,
08/07/2025,08/08/2025,UBER *EATS HELP.UBER.COM,Food & Drink,Sale,-34.93,
08/12/2025,08/13/2025,AMZN Mktp US*2K0JMVWK,Shopping,Sale,-26.58,
08/17/2025,08/17/2025,Payment Thank You,Payment,Payment,793.77,
08/18/2025,08/18/2025,DD *WINGSTOP,Food & Drink,Sale,-24.33,
08/22/2025,08/22/2025,CVS/PHARMACY #4471,Shopping,Sale,-6.15,
08/22/2025,08/24/2025,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-130.02,
08/25/2025,08/25/2025,AMAZON.COM*2AYO0ONE,Shopping,Sale,-60.69,
08/27/2025,08/27/2025,UBER  EATS 8005928996,Food & Drink,Sale,-41.03,
08/28/2025,08/28/2025,TARGET.COM*8871029,Shopping,Sale,-26.72,
08/29/2025,08/29/2025,SAFEWAY #2214,Groceries,Sale,-108.55,
08/30/2025,08/30/2025,AMAZON.COM*2AJCO5C7,Shopping,Sale,-126.88,
09/01/2024,09/02/2024,AMAZON.COM*2A8OB3DU,Shopping,Sale,-150.91,
09/02/2024,09/03/2024,STARBUCKS STORE #05028,Food & Drink,Sale,-4.56,
09/05/2024,09/06/2024,AMAZON.COM*2APITCU8,Shopping,Sale,-107.38,
09/05/2025,09/06/2025,COSTCO GAS #1147,Gas,Sale,-38.42,
09/06/2024,09/07/2024,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
09/06/2025,09/08/2025,Amazon Prime*Membership,Bills & Utilities,Sale,-14.99,
09/08/2024,09/09/2024,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-37.08,
09/08/2025,09/10/2025,SHELL SERVICE STATION AUSTIN TX,Gas,Sale,-46.32,
09/09/2024,09/10/2024,AMZN Mktp US*2K9B4KFE,Shopping,Sale,-57.12,
09/09/2025,09/09/2025,TARGET 00021842 AUSTIN TX,Shopping,Sale,-40.43,
09/11/2024,09/11/2024,SAFEWAY STORE 2214 AUSTIN TX,Groceries,Sale,-40.95,
09/13/2025,09/14/2025,COSTCO GAS #1147,Gas,Sale,-43.09,
09/14/2024,09/15/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-20.03,
09/14/2024,09/14/2024,CVS/PHARMACY #4471,Shopping,Sale,-29.7,
09/17/2024,09/19/2024,TARGET 00021842 AUSTIN TX,Shopping,Sale,-66.62,
09/17/2025,09/19/2025,UBER TRIP 8005928996,Travel,Sale,-37.95,
09/17/2025,09/18/2025,SQ *STARBUCKS,Food & Drink,Sale,-10.73,
09/17/2025,09/17/2025,Payment Thank You,Payment,Payment,784.86,
09/17/2025,09/17/2025,DD *COSTCO WHSE,Groceries,Sale,-48.82,
09/18/2024,09/19/2024,UBER TRIP 8005928996,Travel,Sale,-34.2,
09/20/2024,09/21/2024,SQ *STARBUCKS,Food & Drink,Sale,-9.08,
09/20/2024,09/22/2024,DD *WINGSTOP,Food & Drink,Sale,-29.02,
09/20/2025,09/21/2025,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-215.71,
09/21/2025,09/21/2025,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-35.77,
09/22/2025,09/23/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-24.28,
09/24/2024,09/25/2024,DOORDASH*CHIPOTLE,Food & Drink,Sale,-44.6,
09/25/2025,09/25/2025,TARGET 00021842 AUSTIN TX,Shopping,Sale,-82.32,
09/25/2025,09/27/2025,UBER TRIP 8005928996,Travel,Sale,-22.78,
09/26/2024,09/26/2024,COSTCO WHSE #1147,Groceries,Sale,-78.51,
09/26/2025,09/26/2025,COSTCO GAS #1147,Gas,Sale,-44.57,
09/26/2025,09/26/2025,SQ *STARBUCKS,Food & Drink,Sale,-7.09,
09/26/2025,09/27/2025,COSTCO GAS #1147,Gas,Sale,-35.12,
09/27/2024,09/28/2024,UBER  EATS 8005928996,Food & Drink,Sale,-40.26,
09/27/2024,09/28/2024,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-151.66,
09/27/2025,09/27/2025,SHELL OIL 57443982,Gas,Sale,-35.63,
09/27/2025,09/27/2025,UBER TRIP 8005928996,Travel,Sale,-21.22,
09/27/2025,09/27/2025,SQ *STARBUCKS,Food & Drink,Sale,-6.36,
09/27/2025,09/28/2025,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-12.3,
09/28/2024,09/29/2024,AMAZON.COM*2AVCSFM7,Shopping,Sale,-74.78,
09/28/2024,09/29/2024,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-4.89,
09/28/2024,09/28/2024,UBER  EATS 8005928996,Food & Drink,Sale,-26.24,
09/28/2025,09/29/2025,ALBERTSONS-SAFEWAY #2214,Groceries,Sale,-33.21,
09/29/2024,09/30/2024,SQ *STARBUCKS,Food & Drink,Sale,-9.15,
09/29/2025,09/30/2025,UBER  EATS 8005928996,Food & Drink,Sale,-19.03,
09/29/2025,09/30/2025,AMZN Mktp US*2KCS3TQL,Shopping,Sale,-127.44,
09/30/2024,09/30/2024,DOORDASH*PANDA EXPRESS,Food & Drink,Sale,-44.69,
10/01/2024,10/02/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-36.4,
10/02/2024,10/02/2024,UBER  EATS 8005928996,Food & Drink,Sale,-31.07,
10/03/2025,10/04/2025,COSTCO GAS #1147,Gas,Sale,-37.32,
10/04/2024,10/04/2024,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-10.04,
10/04/2024,10/04/2024,STARBUCKS 800-782-7282 WA,Food & Drink,Sale,-4.79,
10/05/2025,10/06/2025,CHIPOTLE 2647,Food & Drink,Sale,-12.92,
10/05/2025,10/06/2025,UBER *TRIP HELP.UBER.COM,Travel,Sale,-18.18,
10/06/2024,10/07/2024,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
10/06/2025,10/08/2025,AMZN PRIME MEMBERSHIP,Bills & Utilities,Sale,-14.99,
10/09/2024,10/10/2024,COSTCO WHOLESALE #1147 AUSTIN TX,Groceries,Sale,-183.24,
10/10/2025,10/11/2025,SQ *STARBUCKS,Food & Drink,Sale,-10.93,
10/11/2025,10/12/2025,STARBUCKS STORE #05028,Food & Drink,Sale,-11.57,
10/12/2024,10/12/2024,TARGET.COM*8871029,Shopping,Sale,-16.39,
10/13/2025,10/13/2025,AMAZON.COM*2AN0HJ1R,Shopping,Sale,-98.59,
10/13/2025,10/13/2025,UBER TRIP 8005928996,Travel,Sale,-11.41,
10/14/2025,10/14/2025,COSTCO WHSE #1147,Groceries,Sale,-80.28,
