Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Country,Category
03/28/2026,SQ *STARBUCKS,9.44,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
03/29/2025,SHELL OIL 57443982,34.07,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
03/29/2026,UBER *TRIP HELP.UBER.COM,41.8,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
03/29/2026,COSTCO WHOLESALE #1147 AUSTIN TX,220.09,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
03/30/2026,UBER  EATS 8005928996,30.64,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
04/03/2026,WHOLEFDS AUS 10120,39.0,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
04/05/2025,UBER  EATS 8005928996,40.57,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
04/07/2026,STARBUCKS STORE #05028,10.93,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
04/08/2025,SQ *STARBUCKS,6.43,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
04/09/2025,AMAZON.COM*2AUM1PG0,16.53,AMAZON.COM*2AUM1PG0,AMAZON.COM*2AUM1PG0,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
04/09/2025,STARBUCKS 800-782-7282 WA,6.34,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
04/10/2025,STARBUCKS 800-782-7282 WA,12.22,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
04/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
04/11/2026,SPOTIFY USA,11.99,SPOTIFY USA,SPOTIFY USA,"AUSTIN, TX",US,Business Services-Internet Services
04/11/2026,DOORDASH*PANDA EXPRESS,22.95,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
04/12/2026,STARBUCKS STORE #05028,7.16,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
04/13/2026,STARBUCKS 800-782-7282 WA,11.1,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
04/15/2025,DOORDASH*PANDA EXPRESS,16.06,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
04/16/2026,DD *WINGSTOP,43.36,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
04/16/2026,SQ *STARBUCKS,8.11,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
04/18/2025,UBER *TRIP HELP.UBER.COM,14.76,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
04/19/2025,ONLINE PAYMENT - THANK YOU,-1327.76,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
04/19/2026,ONLINE PAYMENT - THANK YOU,-1200.55,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
04/20/2025,SQ *STARBUCKS,9.33,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
04/22/2025,DD *WINGSTOP,31.04,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
04/22/2026,DOORDASH*PANDA EXPRESS,20.51,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
04/23/2026,AMAZON.COM*2AM4JNJP,38.0,AMAZON.COM*2AM4JNJP,AMAZON.COM*2AM4JNJP,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
04/23/2026,UBER *TRIP HELP.UBER.COM,35.19,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
04/24/2026,DD *WINGSTOP,28.89,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
04/25/2026,STARBUCKS 800-782-7282 WA,6.74,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
04/26/2026,SQ *JOE'S DINER AUSTIN TX,24.09,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
04/28/2026,MOZART'S COFFEE ROASTER,25.33,MOZART'S COFFEE ROASTER,MOZART'S COFFEE ROASTER,"AUSTIN, TX",US,Restaurant-Restaurant
04/28/2026,AMZN Mktp US*2KXN74C3,150.31,AMZN Mktp US*2KXN74C3,AMZN Mktp US*2KXN74C3,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
04/30/2026,SQ *STARBUCKS,9.47,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
05/01/2025,SHELL SERVICE STATION AUSTIN TX,54.66,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
05/04/2026,STARBUCKS STORE #05028,9.67,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
05/07/2025,UBER *TRIP HELP.UBER.COM,24.09,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
05/08/2025,STARBUCKS 800-782-7282 WA,9.64,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
05/09/2026,AMAZON.COM*2AJDFI1M,32.82,AMAZON.COM*2AJDFI1M,AMAZON.COM*2AJDFI1M,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
05/09/2026,SHELL SERVICE STATION AUSTIN TX,51.33,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
05/09/2026,COSTCO WHSE #1147,222.04,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/10/2026,COSTCO WHSE #1147,165.57,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/10/2026,UBER *EATS HELP.UBER.COM,38.06,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
05/11/2025,COSTCO WHSE #1147,73.97,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/11/2025,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
05/11/2026,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
05/13/2025,SQ *STARBUCKS,5.13,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
05/14/2026,SHELL OIL 57443982,41.82,SHELL OIL 57443982,SHELL OIL 57443982,"AUSTIN, TX",US,Travel-Fuel
05/15/2025,COSTCO WHOLESALE #1147 AUSTIN TX,153.13,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/17/2025,CVS/PHARMACY #4471,14.58,CVS/PHARMACY #4471,CVS/PHARMACY #4471,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
05/17/2025,SQ *JOE'S DINER AUSTIN TX,26.76,SQ *JOE'S DINER AUSTIN TX,SQ *JOE'S DINER AUSTIN TX,"AUSTIN, TX",US,Restaurant-Restaurant
05/18/2025,DOORDASH*PANDA EXPRESS,45.82,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
05/19/2025,ONLINE PAYMENT - THANK YOU,-1049.83,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
05/19/2026,ONLINE PAYMENT - THANK YOU,-1564.83,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
05/22/2025,UBER *TRIP HELP.UBER.COM,11.72,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
05/23/2025,WHOLEFDS AUS 10120,106.07,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/24/2025,COSTCO WHOLESALE #1147 AUSTIN TX,80.81,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/25/2025,WHOLEFDS AUS 10120,125.07,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/25/2026,CVS/PHARMACY #4471,28.29,CVS/PHARMACY #4471,CVS/PHARMACY #4471,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
05/26/2026,UBER TRIP 8005928996,30.49,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
05/28/2026,STARBUCKS STORE #05028,8.83,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
05/30/2026,COSTCO WHOLESALE #1147 AUSTIN TX,134.14,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
05/31/2026,UBER *TRIP HELP.UBER.COM,23.56,UBER *TRIP HELP.UBER.COM,UBER *TRIP HELP.UBER.COM,"AUSTIN, TX",US,Transportation-Taxis & Coach
06/01/2025,DD *WINGSTOP,30.47,DD *WINGSTOP,DD *WINGSTOP,"AUSTIN, TX",US,Restaurant-Restaurant
06/01/2026,STARBUCKS 800-782-7282 WA,4.73,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
06/05/2026,AMAZON.COM*2A6ZIFV0,34.02,AMAZON.COM*2A6ZIFV0,AMAZON.COM*2A6ZIFV0,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
06/06/2026,SQ *STARBUCKS,8.11,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
06/07/2025,UBER  EATS 8005928996,48.82,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
06/07/2026,UBER TRIP 8005928996,36.42,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
06/07/2026,DOORDASH*PANDA EXPRESS,33.91,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
06/11/2025,SPOTIFY USA,11.99,SPOTIFY USA,SPOTIFY USA,"AUSTIN, TX",US,Business Services-Internet Services
06/11/2026,SPOTIFY P0A1B2C3,11.99,SPOTIFY P0A1B2C3,SPOTIFY P0A1B2C3,"AUSTIN, TX",US,Business Services-Internet Services
06/12/2025,UBER  EATS 8005928996,35.41,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
06/12/2026,SHELL SERVICE STATION AUSTIN TX,39.4,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
06/13/2025,AMAZON.COM*2AVSRFAC,12.94,AMAZON.COM*2AVSRFAC,AMAZON.COM*2AVSRFAC,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
06/15/2026,STARBUCKS 800-782-7282 WA,4.87,STARBUCKS 800-782-7282 WA,STARBUCKS 800-782-7282 WA,"AUSTIN, TX",US,Restaurant-Restaurant
06/16/2025,UBER *EATS HELP.UBER.COM,22.56,UBER *EATS HELP.UBER.COM,UBER *EATS HELP.UBER.COM,"AUSTIN, TX",US,Restaurant-Restaurant
06/16/2026,DOORDASH*PANDA EXPRESS,28.97,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
06/17/2026,COSTCO WHSE #1147,68.39,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
06/19/2025,COSTCO WHSE #1147,215.44,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
06/19/2025,ONLINE PAYMENT - THANK YOU,-783.64,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
06/19/2026,ONLINE PAYMENT - THANK YOU,-1066.43,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,,,Fees & Adjustments-Payments and Credits
06/21/2025,WHOLEFDS AUS 10120,25.43,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
06/22/2025,AMZN Mktp US*2KFHVSX3,36.24,AMZN Mktp US*2KFHVSX3,AMZN Mktp US*2KFHVSX3,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
06/22/2026,WHOLEFDS AUS 10120,103.18,WHOLEFDS AUS 10120,WHOLEFDS AUS 10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
06/23/2025,SQ *STARBUCKS,4.78,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
06/24/2025,DOORDASH*PANDA EXPRESS,17.75,DOORDASH*PANDA EXPRESS,DOORDASH*PANDA EXPRESS,"AUSTIN, TX",US,Restaurant-Restaurant
06/26/2025,UBER TRIP 8005928996,32.04,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
06/26/2026,UBER  EATS 8005928996,43.11,UBER  EATS 8005928996,UBER  EATS 8005928996,"AUSTIN, TX",US,Restaurant-Restaurant
06/28/2025,MARRIOTT DENVER CO,240.03,MARRIOTT DENVER CO,MARRIOTT DENVER CO,"AUSTIN, TX",US,Travel-Lodging
06/28/2026,STARBUCKS STORE #05028,8.46,STARBUCKS STORE #05028,STARBUCKS STORE #05028,"AUSTIN, TX",US,Restaurant-Restaurant
06/29/2025,SQ *STARBUCKS,4.91,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
06/29/2025,WHOLE FOODS MKT #10120,110.44,WHOLE FOODS MKT #10120,WHOLE FOODS MKT #10120,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
07/02/2025,AMAZON.COM*2AG9JXE6,153.33,AMAZON.COM*2AG9JXE6,AMAZON.COM*2AG9JXE6,"AUSTIN, TX",US,Merchandise & Supplies-Internet Purchase
07/04/2025,SHELL SERVICE STATION AUSTIN TX,48.77,SHELL SERVICE STATION AUSTIN TX,SHELL SERVICE STATION AUSTIN TX,"AUSTIN, TX",US,Travel-Fuel
07/04/2026,COSTCO WHOLESALE #1147 AUSTIN TX,189.93,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO WHOLESALE #1147 AUSTIN TX,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
07/07/2025,SQ *STARBUCKS,9.5,SQ *STARBUCKS,SQ *STARBUCKS,"AUSTIN, TX",US,Restaurant-Restaurant
07/07/2026,COSTCO WHSE #1147,70.59,COSTCO WHSE #1147,COSTCO WHSE #1147,"AUSTIN, TX",US,Merchandise & Supplies-Wholesale Stores
07/08/2025,UBER TRIP 8005928996,31.0,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
07/08/2026,UBER TRIP 8005928996,28.88,UBER TRIP 8005928996,UBER TRIP 8005928996,"AUSTIN, TX",US,Transportation-Taxis & Coach
