Description:,BANK OF AMERICA CHECKING ACCOUNT EXPORT
Generated:,07/15/2026
,,,
Date,Description,Amount,Running Bal.
06/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-355.56,44790.93
06/09/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2511.07,47302.0
06/23/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2514.86,49816.86
07/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1584.77,48232.09
07/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1914.99,46317.1
07/07/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2631.98,48949.08
07/07/2024,ZELLE PAYMENT TO M CHEN,-144.31,48804.77
07/21/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2591.24,51396.01
07/30/2024,ZELLE PAYMENT TO M CHEN,-82.73,51313.28
08/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1568.34,49744.94
08/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1035.65,48709.29
08/04/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2535.77,51245.06
08/09/2024,ZELLE PAYMENT TO M CHEN,-61.3,51183.76
08/18/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2483.19,53666.95
08/20/2024,ZELLE PAYMENT TO M CHEN,-185.24,53481.71
09/01/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2459.08,55940.79
09/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1585.61,54355.18
09/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-977.29,53377.89
09/15/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2474.48,55852.37
09/20/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-89.2,55763.17
09/23/2024,ZELLE PAYMENT TO M CHEN,-51.97,55711.2
09/28/2024,ZELLE PAYMENT TO J HERNANDEZ,-22.84,55688.36
09/29/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2619.5,58307.86
10/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1563.85,56744.01
10/01/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-68.69,56675.32
10/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1772.74,54902.58
10/07/2024,ZELLE PAYMENT TO M CHEN,-145.53,54757.05
10/13/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2579.61,57336.66
10/22/2024,ZELLE PAYMENT TO J HERNANDEZ,-26.23,57310.43
10/27/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2481.32,59791.75
11/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1598.91,58192.84
11/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-321.29,57871.55
11/10/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2575.04,60446.59
11/13/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-40.53,60406.06
11/15/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-22.76,60383.3
11/15/2024,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1437.45,58945.85
11/24/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2461.68,61407.53
12/01/2024,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1571.9,59835.63
12/03/2024,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-2488.01,57347.62
12/08/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2551.38,59899.0
12/14/2024,ZELLE PAYMENT TO J HERNANDEZ,-77.97,59821.03
12/15/2024,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1190.86,58630.17
12/22/2024,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2517.07,61147.24
12/27/2024,ZELLE PAYMENT TO ROOMMATE SPLIT,-65.12,61082.12
01/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1550.18,59531.94
01/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-2151.4,57380.54
01/04/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-154.56,57225.98
01/05/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2470.49,59696.47
01/13/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-66.45,59630.02
01/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1879.89,57750.13
01/19/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2598.5,60348.63
01/27/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-88.74,60259.89
02/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1554.57,58705.32
02/02/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2593.35,61298.67
02/02/2025,ZELLE PAYMENT TO M CHEN,-112.49,61186.18
02/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-666.3,60519.88
02/05/2025,ZELLE PAYMENT TO J HERNANDEZ,-23.32,60496.56
02/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-2146.56,58350.0
02/16/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2552.13,60902.13
03/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1586.31,59315.82
03/02/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2483.62,61799.44
03/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-2840.41,58959.03
03/14/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-70.92,58888.11
03/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1543.31,57344.8
03/16/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2583.92,59928.72
03/20/2025,ZELLE PAYMENT TO J HERNANDEZ,-29.31,59899.41
03/20/2025,ATM WITHDRAWAL - AUSTIN TX,-60.0,59839.41
03/26/2025,ATM WITHDRAWAL - AUSTIN TX,-60.0,59779.41
03/30/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2536.66,62316.07
04/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1593.24,60722.83
04/02/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-146.98,60575.85
04/03/2025,ATM WITHDRAWAL - AUSTIN TX,-100.0,60475.85
04/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-595.39,59880.46
04/13/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2582.25,62462.71
04/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1492.83,60969.88
04/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1327.76,59642.12
04/21/2025,ZELLE PAYMENT TO M CHEN,-71.56,59570.56
04/27/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2468.29,62038.85
05/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1581.84,60457.01
05/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-921.41,59535.6
05/10/2025,ZELLE PAYMENT TO J HERNANDEZ,-103.11,59432.49
05/11/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2630.52,62063.01
05/12/2025,ATM WITHDRAWAL - AUSTIN TX,-60.0,62003.01
05/15/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-67.48,61935.53
05/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1217.41,60718.12
05/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1049.83,59668.29
05/25/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2450.71,62119.0
06/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1557.77,60561.23
06/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-682.92,59878.31
06/05/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-174.27,59704.04
06/08/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2494.54,62198.58
06/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-990.84,61207.74
06/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-783.64,60424.1
06/22/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2529.67,62953.77
07/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1593.6,61360.17
07/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-998.76,60361.41
07/06/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2489.68,62851.09
07/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1520.72,61330.37
07/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1205.27,60125.1
07/20/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2467.56,62592.66
07/27/2025,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-953.37,61639.29
07/29/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-165.59,61473.7
08/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1585.84,59887.86
08/03/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2587.49,62475.35
08/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-863.93,61611.42
08/04/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-148.56,61462.86
08/08/2025,ZELLE PAYMENT TO J HERNANDEZ,-182.53,61280.33
08/09/2025,ZELLE PAYMENT TO M CHEN,-174.23,61106.1
08/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-793.77,60312.33
08/17/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2648.77,62961.1
08/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1661.93,61299.17
08/21/2025,ATM WITHDRAWAL - AUSTIN TX,-60.0,61239.17
08/27/2025,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-976.11,60263.06
08/31/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2516.99,62780.05
09/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1555.76,61224.29
09/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-690.17,60534.12
09/14/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2503.24,63037.36
09/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-784.86,62252.5
09/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1640.83,60611.67
09/19/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-162.64,60449.03
09/22/2025,ZELLE PAYMENT TO M CHEN,-48.86,60400.17
09/27/2025,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-715.78,59684.39
09/28/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2584.13,62268.52
10/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1569.03,60699.49
10/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1552.81,59146.68
10/04/2025,ATM WITHDRAWAL - AUSTIN TX,-60.0,59086.68
10/08/2025,ZELLE PAYMENT TO ROOMMATE SPLIT,-175.67,58911.01
10/12/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2494.52,61405.53
10/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1247.68,60157.85
10/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1557.62,58600.23
10/26/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2530.15,61130.38
10/27/2025,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-1013.47,60116.91
10/28/2025,ZELLE PAYMENT TO J HERNANDEZ,-123.42,59993.49
11/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1583.57,58409.92
11/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-483.91,57926.01
11/06/2025,ZELLE PAYMENT TO M CHEN,-156.8,57769.21
11/09/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2587.69,60356.9
11/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1354.53,59002.37
11/18/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1458.12,57544.25
11/23/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2536.14,60080.39
11/27/2025,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-665.54,59414.85
11/28/2025,ZELLE PAYMENT TO J HERNANDEZ,-193.9,59220.95
12/01/2025,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1550.18,57670.77
12/01/2025,MONTHLY MAINTENANCE FEE,-12.0,57658.77
12/03/2025,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-1930.64,55728.13
12/07/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2481.15,58209.28
12/15/2025,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1346.78,56862.5
12/21/2025,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2464.09,59326.59
12/24/2025,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1159.6,58166.99
12/25/2025,ZELLE PAYMENT TO M CHEN,-67.42,58099.57
12/27/2025,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-1249.74,56849.83
01/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1552.12,55297.71
01/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-655.47,54642.24
01/04/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2558.6,57200.84
01/15/2026,ZELLE PAYMENT TO ROOMMATE SPLIT,-106.97,57093.87
01/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1615.2,55478.67
01/18/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2648.12,58126.79
01/18/2026,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-779.75,57347.04
01/27/2026,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-848.41,56498.63
02/01/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2633.99,59132.62
02/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1567.68,57564.94
02/03/2026,ATM WITHDRAWAL - AUSTIN TX,-60.0,57504.94
02/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-887.29,56617.65
02/05/2026,ZELLE PAYMENT TO J HERNANDEZ,-33.91,56583.74
02/12/2026,ZELLE PAYMENT TO J HERNANDEZ,-60.07,56523.67
02/15/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2469.98,58993.65
02/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1170.98,57822.67
02/18/2026,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-415.42,57407.25
02/27/2026,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-666.19,56741.06
03/01/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2550.46,59291.52
03/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1593.73,57697.79
03/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-157.82,57539.97
03/06/2026,ZELLE PAYMENT TO ROOMMATE SPLIT,-73.98,57465.99
03/15/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2547.69,60013.68
03/15/2026,ZELLE PAYMENT TO M CHEN,-70.64,59943.04
03/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1273.13,58669.91
03/17/2026,ZELLE PAYMENT TO M CHEN,-192.85,58477.06
03/18/2026,ZELLE PAYMENT TO ROOMMATE SPLIT,-105.62,58371.44
03/18/2026,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-342.33,58029.11
03/20/2026,ZELLE PAYMENT TO ROOMMATE SPLIT,-88.58,57940.53
03/23/2026,ZELLE PAYMENT TO J HERNANDEZ,-27.95,57912.58
03/27/2026,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-717.47,57195.11
03/29/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2488.8,59683.91
03/31/2026,ATM WITHDRAWAL - AUSTIN TX,-40.0,59643.91
04/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1599.82,58044.09
04/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-959.49,57084.6
04/12/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2583.96,59668.56
04/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-1116.19,58552.37
04/18/2026,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1200.55,57351.82
04/26/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2549.12,59900.94
04/27/2026,ONLINE BANKING PAYMENT TO APPLE CARD GS BANK PAYMENT,-536.86,59364.08
05/01/2026,ONLINE BANKING TRANSFER TO RIVERSIDE APTS LLC,-1565.92,57798.16
05/03/2026,ONLINE BANKING PAYMENT TO DISCOVER E-PAYMENT,-205.28,57592.88
05/10/2026,ACH DEPOSIT DIRECT DEP PAYROLL EMPLOYER INC,2611.75,60204.63
05/12/2026,ZELLE PAYMENT TO M CHEN,-85.09,60119.54
05/15/2026,ONLINE BANKING PAYMENT TO CHASE CREDIT CRD EPAY,-966.62,59152.92
05/18/2026,ONLINE BANKING PAYMENT TO AMERICAN EXPRESS ACH PMT,-1564.83,57588.09
